Date,log_return,vix_change,regime_IS,regime_OOS,bull_prob_OOS,regime_filt,bull_prob_IS,pos_IS,pos_OOS,pos_filt,pos_weighted_raw,pos_weighted,pos_short,ret_bnh,ret_IS,ret_OOS,ret_filt,ret_weighted_raw,ret_weighted,ret_short,ret_bnh_net,ret_IS_net,ret_OOS_net,ret_filt_net,ret_weighted_raw_net,ret_weighted_net,ret_short_net,cum_IS,cum_IS_net,cum_OOS,cum_OOS_net,cum_filt,cum_filt_net,cum_weighted_raw,cum_weighted_raw_net,cum_weighted,cum_weighted_net,cum_short,cum_short_net,cum_bnh,cum_bnh_net
2010-01-04,0.013374525760488696,0.0,High-Vol,,,High-Vol,5.232679422331982e-292,0.0,0.0,0.0,5.232679422331982e-292,5.232679422331982e-292,0.0,0.013374525760488696,0.0,0.0,0.0,6.998460573035821e-294,6.998460573035821e-294,0.0,0.012874525760488696,0.0,0.0,0.0,6.736826601919222e-294,6.736826601919222e-294,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0134643648015447,1.0129577592810783
2010-01-05,0.0057425523967058805,0.0,High-Vol,,,High-Vol,1.548270879311958e-07,0.0,0.0,0.0,1.548270879311958e-07,5.232679422331982e-292,0.0,0.0057425523967058805,0.0,0.0,0.0,8.891026648742805e-10,3.0048935757906068e-294,0.0,0.0057425523967058805,0.0,0.0,0.0,8.116891209086826e-10,3.0048935757906068e-294,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000008891026,1.0000000008116892,1.0,1.0,1.0,1.0,1.019300979512059,1.0187914564136926
2010-01-06,-0.0008987689376842614,0.0,High-Vol,,,High-Vol,1.7489526434580942e-07,0.0,0.0,0.0,1.7489526434580942e-07,5.232679422331982e-292,0.0,-0.0008987689376842614,-0.0,-0.0,-0.0,-1.571904309420912e-10,-4.7029697256516104e-295,-0.0,-0.0008987689376842614,-0.0,-0.0,-0.0,-1.6722451914939802e-10,-4.7029697256516104e-295,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000007319123,1.0000000006444647,1.0,1.0,1.0,1.0,1.018385275018541,1.0178762096579772
2010-01-07,-0.006384584453661116,0.0,High-Vol,,,High-Vol,1.3484218606070518e-07,0.0,0.0,0.0,1.3484218606070518e-07,5.232679422331982e-292,0.0,-0.006384584453661116,-0.0,-0.0,-0.0,-8.60911324820858e-10,-3.34084836908132e-294,-0.0,-0.006384584453661116,-0.0,-0.0,-0.0,-8.809378639634101e-10,-3.34084836908132e-294,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999998710009,0.9999999997635267,1.0,1.0,1.0,1.0,1.0119040202991043,1.0113981947558788
2010-01-08,0.00941000400903391,0.0,High-Vol,,,High-Vol,1.2113219913884697e-07,0.0,0.0,0.0,1.2113219913884697e-07,5.232679422331982e-292,0.0,0.00941000400903391,0.0,0.0,0.0,1.139854479519644e-09,4.92395343421332e-294,0.0,0.00941000400903391,0.0,0.0,0.0,1.1329994860587149e-09,4.92395343421332e-294,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000010108554,1.0000000008965262,1.0,1.0,1.0,1.0,1.0214709831717146,1.0209603753427237
2010-01-11,-0.005952937980254957,0.0,High-Vol,,,High-Vol,1.3785270496037667e-07,0.0,0.0,0.0,1.3785270496037667e-07,5.232679422331982e-292,0.0,-0.005952937980254957,-0.0,-0.0,-0.0,-8.206286030395073e-10,-3.1149816071698627e-294,-0.0,-0.005952937980254957,-0.0,-0.0,-0.0,-8.289888559502721e-10,-3.1149816071698627e-294,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000001902267,1.0000000000675373,1.0,1.0,1.0,1.0,1.0154082930731945,1.0149007158315428
2010-01-12,0.01219927988340622,0.0,High-Vol,,,High-Vol,9.096402756222192e-08,0.0,0.0,0.0,9.096402756222192e-08,5.232679422331982e-292,0.0,0.01219927988340622,0.0,0.0,0.0,1.1096956315534228e-09,6.383492081316823e-294,0.0,0.01219927988340622,0.0,0.0,0.0,1.0862512928543455e-09,6.383492081316823e-294,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000012999224,1.0000000011537886,1.0,1.0,1.0,1.0,1.0278714089904237,1.0273576017484434
2010-01-13,-0.0011906925472457807,0.0,High-Vol,,,High-Vol,1.7174432187662333e-07,0.0,0.0,0.0,1.7174432187662333e-07,5.232679422331982e-292,0.0,-0.0011906925472457807,-0.0,-0.0,-0.0,-2.044946840902759e-10,-6.230512390297048e-295,-0.0,-0.0011906925472457807,-0.0,-0.0,-0.0,-2.448848312474766e-10,-6.230512390297048e-295,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000010954277,1.0000000009089038,1.0,1.0,1.0,1.0,1.0266482585068042,1.0261350626871975
2010-01-14,0.011934074508325248,0.0,High-Vol,,,High-Vol,9.406849706296996e-08,0.0,0.0,0.0,9.406849706296996e-08,5.232679422331982e-292,0.0,0.011934074508325248,0.0,0.0,0.0,1.1226204528356582e-09,6.244718610429019e-294,0.0,0.011934074508325248,0.0,0.0,0.0,1.0837825404288314e-09,6.244718610429019e-294,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000022180482,1.0000000019926865,1.0,1.0,1.0,1.0,1.038973755733842,1.038454398706052
2010-01-15,0.005552519030414806,0.0,High-Vol,,,High-Vol,1.5827686237368276e-07,0.0,0.0,0.0,1.5827686237368276e-07,5.232679422331982e-292,0.0,0.005552519030414806,0.0,0.0,0.0,8.788352904042186e-10,2.9054552072558284e-294,0.0,0.005552519030414806,0.0,0.0,0.0,8.467311077488622e-10,2.9054552072558284e-294,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000030968834,1.0000000028394176,1.0,1.0,1.0,1.0,1.0447587229922894,1.0442364742038706
2010-01-18,-0.00015896842609705743,0.0,High-Vol,,,High-Vol,1.7756546420529046e-07,0.0,0.0,0.0,1.7756546420529046e-07,5.232679422331982e-292,0.0,-0.00015896842609705743,-0.0,-0.0,-0.0,-2.8227302373908412e-11,-8.318308120385749e-296,-0.0,-0.00015896842609705743,-0.0,-0.0,-0.0,-3.787160328971226e-11,-8.318308120385749e-296,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000030686562,1.0000000028015459,1.0,1.0,1.0,1.0,1.044592652542773,1.0440704867688233
