Date,log_return,vix_change,regime_IS,regime_OOS,bull_prob_OOS,regime_filt,bull_prob_IS,pos_IS,pos_OOS,pos_filt,pos_weighted_raw,pos_weighted,pos_short,ret_bnh,ret_IS,ret_OOS,ret_filt,ret_weighted_raw,ret_weighted,ret_short,ret_bnh_net,ret_IS_net,ret_OOS_net,ret_filt_net,ret_weighted_raw_net,ret_weighted_net,ret_short_net,cum_IS,cum_IS_net,cum_OOS,cum_OOS_net,cum_filt,cum_filt_net,cum_weighted_raw,cum_weighted_raw_net,cum_weighted,cum_weighted_net,cum_short,cum_short_net,cum_bnh,cum_bnh_net
2010-01-04,0.017117247406343006,0.0,High-Vol,,,High-Vol,9.105050554928182e-93,0.0,0.0,0.0,9.105050554928182e-93,9.105050554928182e-93,0.0,0.017117247406343006,0.0,0.0,0.0,1.5585340299596637e-94,1.5585340299596637e-94,0.0,0.016617247406343006,0.0,0.0,0.0,1.5130087771850228e-94,1.5130087771850228e-94,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0172645869677557,1.0167560818111547
2010-01-05,0.007304710224336005,0.0,High-Vol,,,High-Vol,3.445875576158387e-07,0.0,0.0,0.0,3.445875576158387e-07,9.105050554928182e-93,0.0,0.007304710224336005,0.0,0.0,0.0,2.5171122552953895e-09,6.650975588168011e-95,0.0,0.007304710224336005,0.0,0.0,0.0,2.34481847648747e-09,6.650975588168011e-95,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000025171123,1.0000000023448186,1.0,1.0,1.0,1.0,1.0247226162056584,1.0242103829665368
2010-01-06,-0.0012341314913082652,0.0,High-Vol,,,High-Vol,3.8623859411429765e-07,0.0,0.0,0.0,3.8623859411429765e-07,9.105050554928182e-93,0.0,-0.0012341314913082652,-0.0,-0.0,-0.0,-4.766692121550859e-10,-1.1236829619790665e-95,-0.0,-0.0012341314913082652,-0.0,-0.0,-0.0,-4.974947304043153e-10,-1.1236829619790665e-95,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000020404431,1.0000000018473238,1.0,1.0,1.0,1.0,1.0234587538017534,1.0229471523358775
2010-01-07,-0.008287322868993162,0.0,High-Vol,,,High-Vol,2.9972852257467346e-07,0.0,0.0,0.0,2.9972852257467346e-07,9.105050554928182e-93,0.0,-0.008287322868993162,-0.0,-0.0,-0.0,-2.4839470396226244e-09,-7.545649368719521e-95,-0.0,-0.008287322868993162,-0.0,-0.0,-0.0,-2.5272020753924364e-09,-7.545649368719521e-95,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999999556496,0.9999999993201216,1.0,1.0,1.0,1.0,1.0150120692100324,1.0145046900307926
2010-01-08,0.012020005154472428,0.0,High-Vol,,,High-Vol,2.719210305633968e-07,0.0,0.0,0.0,2.719210305633968e-07,9.105050554928182e-93,0.0,0.012020005154472428,0.0,0.0,0.0,3.2684921889814844e-09,1.0944275460196879e-94,0.0,0.012020005154472428,0.0,0.0,0.0,3.254588442975846e-09,1.0944275460196879e-94,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000028249882,1.0000000025747102,1.0,1.0,1.0,1.0,1.0272861389244259,1.026772624244332
2010-01-11,-0.007732348831756629,0.0,High-Vol,,,High-Vol,3.065281241697295e-07,0.0,0.0,0.0,3.065281241697295e-07,9.105050554928182e-93,0.0,-0.007732348831756629,-0.0,-0.0,-0.0,-2.370182382824359e-09,-7.040342702148398e-95,-0.0,-0.007732348831756629,-0.0,-0.0,-0.0,-2.3874859296275254e-09,-7.040342702148398e-95,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000004548057,1.0000000001872242,1.0,1.0,1.0,1.0,1.0193734354644017,1.0188638761471147
2010-01-12,0.01560621699295094,0.0,High-Vol,,,High-Vol,2.0630404766141436e-07,0.0,0.0,0.0,2.0630404766141436e-07,9.105050554928182e-93,0.0,0.01560621699295094,0.0,0.0,0.0,3.219625734328125e-09,1.4209539469199756e-94,0.0,0.01560621699295094,0.0,0.0,0.0,3.1695136960739676e-09,1.4209539469199756e-94,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000036744316,1.0000000033567378,1.0,1.0,1.0,1.0,1.035406783031552,1.0348892090443158
2010-01-13,-0.0016094618464585673,0.0,High-Vol,,,High-Vol,3.7987939408791245e-07,0.0,0.0,0.0,3.7987939408791245e-07,9.105050554928182e-93,0.0,-0.0016094618464585673,-0.0,-0.0,-0.0,-6.114013910402933e-10,-1.4654231478233314e-95,-0.0,-0.0016094618464585673,-0.0,-0.0,-0.0,-6.981890642535424e-10,-1.4654231478233314e-95,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.00000000306303,1.0000000026585487,1.0,1.0,1.0,1.0,1.0337416756415423,1.0332249339998973
2010-01-14,0.015265238653560612,0.0,High-Vol,,,High-Vol,2.130581528517185e-07,0.0,0.0,0.0,2.130581528517185e-07,9.105050554928182e-93,0.0,0.015265238653560612,0.0,0.0,0.0,3.2523835503682784e-09,1.3899076967371317e-94,0.0,0.015265238653560612,0.0,0.0,0.0,3.1689729297501812e-09,1.3899076967371317e-94,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000063154137,1.0000000058275218,1.0,1.0,1.0,1.0,1.049643049371869,1.0491183590306994
2010-01-15,0.0070603816105335076,0.0,High-Vol,,,High-Vol,3.5155422879230883e-07,0.0,0.0,0.0,3.5155422879230883e-07,9.105050554928182e-93,0.0,0.0070603816105335076,0.0,0.0,0.0,2.4821070120705066e-09,6.428513150099285e-95,0.0,0.0070603816105335076,0.0,0.0,0.0,2.4128589741002115e-09,6.428513150099285e-95,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000087975207,1.0000000082403808,1.0,1.0,1.0,1.0,1.057080153357068,1.0565517453933888
